,volume,price,open,high,low,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
2658,29098,3436606,118.5,118.5,118.0,118.55,48,45.3019456,54.97174449,74.31134228,45.30787210332739,43.18730413135627,-0.189177590996135,-100.0,-100.0,0
2659,23018,2728129,118.5,119.0,118.5,118.45,40,46.86796373,52.27048424,63.07552525,49.38536527191991,50.75387346399582,-0.1864859644094369,-66.66666666666666,-66.66666666666666,0
2660,56321,6670020,118.0,119.0,117.5,118.45,49,56.24530915,53.59542588,48.29565932,53.22161059005563,57.53990435372878,-0.1731798261727604,-33.33333333333333,-33.33333333333333,1
2661,39461,4677273,119.5,119.5,118.0,118.4,64,45.8302061,51.00701928,61.36064565,45.61545873186873,43.23981318677546,-0.1694779515247466,-100.0,-100.0,0
2662,91754,10931400,118.5,119.5,118.5,118.55,191,63.88680407,55.30028088,38.1272345,55.99277217735818,60.783224834558204,-0.147672003149696,0.0,0.0,1
2663,115082,13829962,119.5,120.5,119.5,118.7,187,70.36898049,60.32318075,40.23158127,58.87040469140317,65.09819782642225,-0.1073480935998094,0.0,0.0,1
2664,51126,6116874,120.0,120.0,119.0,118.9,133,74.69043144,65.11226431,45.95593006,58.87040469140317,65.09819782642225,-0.0572866626891643,0.0,0.0,1
2665,587500,72856996,121.0,129.5,121.0,119.4,599,66.46028763,65.56160542,63.764241,73.5305798264917,83.45172351272943,0.052224778764964,0.0,0.0,1
2666,306980,38692475,124.0,127.0,124.0,120.05,341,67.91796953,66.34706012,63.20524131,79.32171694095675,88.5932068112011,0.2330245734207933,0.0,0.0,1
2667,125653,15697658,126.0,127.0,124.0,120.7,250,64.7230908,65.80573701,67.97102944,69.31300715743838,72.39774925776418,0.4245659687147149,-25.0,-18.75,1
2668,56947,7119494,125.5,125.5,124.5,121.35,133,62.59317164,64.73488189,69.01830238,69.31300715743838,72.39774925776418,0.6118314030171874,-25.0,-18.75,1
2669,113350,14021608,125.0,125.0,122.5,121.75,211,54.77225936,61.41400771,74.69750442,57.58959302568427,53.58868696384997,0.7532966648646773,-100.0,-43.75,1
2670,82006,10087062,123.0,123.5,122.5,122.2,142,51.66635472,58.16479005,71.1616607,61.1990693498308,59.84767383911876,0.8728769236068045,-71.42857142857143,-31.25,1
